,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[ KS 규격 및 RH+(확대규격) ] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공칭치수,표준단면치수,,,,,단면적,단위무게,단면2차모멘트,,단면 2차 반경,,단면계수,,소성단면계수,,뒤틀림상수,비틀림상수,,RH+,,,,,,,,,,,,,,,,,,
,,Norminal Size(mm),Sectional Dimension(mm),,,,,Sectional Area(cm2),"Unit
Weight 
(kg/m)","2nd Moment of Inertia
(cm4)",,"Radius of 
Gyration  (cm)",,"Modulus of
Section
(cm³ )",,Plastic Section Modulus(mm3x103),,"Warping
Constant
(cm6,x103)","Torsional
Constant
(cm⁴)",2차,,,,,,,,,,,,,,,,,,,
,,,H,B,t1,t2,r,A,W,Ix,Iy,ix,iy,Sx,Sy,Zx,Zy,A,A,57 ,55 ,,,,,,,,,,,,,,,,,,
,,100 x 50,100 ,50 ,5 ,7 ,8 ,11.85 , 9.3 ,187 ,15 ,3.98 ,1.12 ,37.5 ,5.9 ,44 ,10 ,0.32 ,2.12 ,,,,,,,,,,,,,,,,,,,,
,,100 x 100,100 ,100 ,6 ,8 ,10 ,21.90 , 17.2 ,383 ,134 ,4.18 ,2.47 ,76.5 ,26.7 ,88 ,41 ,2.82 ,5.42 ,,,,,,,,,,,,,,,,,,,,
,,125 x 60,125 ,60 ,6 ,8 ,9 ,16.84 , 13.2 ,413 ,29 ,4.95 ,1.32 ,66.1 ,9.7 ,78 ,16 ,0.99 ,3.96 ,,,,,,,,,,,,,,,,,,,,
,,125 x 125,125 ,125 ,6.5 ,9 ,10 ,30.31 , 23.8 ,847 ,294 ,5.29 ,3.11 ,135.6 ,47.0 ,154 ,72 ,9.86 ,8.68 ,,,,,,,,,,,,,,,,,,,,
,,150 x 75,150 ,75 ,5 ,7 ,8 ,17.85 , 14.0 ,666 ,49 ,6.11 ,1.66 ,88.8 ,13.2 ,102 ,21 ,2.52 ,2.90 ,,,,,,,,,,,,,,,,,,,,
,,150 x 100,148 ,100 ,6 ,9 ,11 ,26.84 , 21.1 ,"1,021 ",151 ,6.17 ,2.37 ,138.0 ,30.1 ,157 ,47 ,7.25 ,7.48 ,,,,,,,,,,,,,,,,,,,,
,,150 x 150,150 ,150 ,7 ,10 ,11 ,40.14 , 31.5 ,"1,641 ",563 ,6.39 ,3.75 ,218.8 ,75.1 ,246 ,115 ,27.56 ,13.76 ,,,,,,,,,,,,,,,,,,,,
,,,154 ,151 ,8 ,12 ,11 ,47.68 , 37.4 ,"2,018 ",690 ,6.51 ,3.80 ,262.1 ,91.3 ,298 ,140 ,34.71 ,22.53 ,X,X,,,,,,,,,,,,,,,,,,
,,,158 ,152 ,9 ,14 ,11 ,55.30 , 43.4 ,"2,419 ",821 ,6.61 ,3.85 ,306.2 ,108.0 ,351 ,165 ,42.48 ,34.60 ,X,X,,,,,,,,,,,,,,,,,,
,,175 x 90,175 ,90 ,5 ,8 ,9 ,23.05 , 18.1 ,"1,210 ",97.5 ,7.25 ,2.06 ,138.3 ,21.7 ,157 ,34 ,6.78 ,4.51 ,,,,,,,,,,,,,,,,,,,,
,,175 x 175,175 ,175 ,7.5 ,11 ,12 ,51.21 , 40.2 ,"2,880 ",984 ,7.50 ,4.38 ,329.1 ,112.5 ,369 ,171 ,66.07 ,20.77 ,,,,,,,,,,,,,,,,,,,,
,,200 x 100,198 ,99 ,4.5 ,7 ,11 ,23.18 , 18.2 ,"1,582 ",114 ,8.26 ,2.21 ,159.8 ,23.0 ,180 ,36 ,10.32 ,3.85 ,,,,,,,,,,,,,,,,,,,,
,,,200 ,100 ,5.5 ,8 ,11 ,27.16 , 21.3 ,"1,844 ",134 ,8.24 ,2.22 ,184.4 ,26.8 ,209 ,42 ,12.29 ,5.89 ,,,,,,,,,,,,,,,,,,,,
,,200 x 150,194 ,150 ,6 ,9 ,13 ,39.01 , 30.6 ,"2,690 ",507 ,8.30 ,3.61 ,277.3 ,67.6 ,309 ,104 ,43.32 ,11.02 ,,,,,,,,,,,,,,,,,,,,
,,200 x 200,200 ,200 ,8 ,12 ,13 ,63.53 , 49.9 ,"4,716 ","1,602 ",8.62 ,5.02 ,471.6 ,160.2 ,526 ,244 ,141.38 ,30.16 ,,,,,,,,,,,,,,,,,,,,
,,,200 ,204 ,12 ,12 ,13 ,71.53 , 56.2 ,"4,982 ","1,702 ",8.35 ,4.88 ,498.2 ,166.8 ,566 ,257 ,150.03 ,43.59 ,,,,,,,,,,,,,,,,,,,,
,,,208 ,202 ,10 ,16 ,13 ,83.69 , 65.7 ,"6,530 ","2,200 ",8.83 ,5.13 ,627.9 ,217.9 ,710 ,332 ,202.57 ,67.22 ,,,,,,,,,,,,,,,,,,,,
,,210 x 210,215 ,206 ,10 ,17 ,13 ,89.59 , 70.3 ,"7,487 ","2,479 ",9.14 ,5.26 ,696.5 ,240.7 ,788 ,366 ,242.76 ,79.44 ,X,X,,,,,,,,,,,,,,,,,,
,,,223 ,209 ,13 ,21 ,13 ,112.80 , 88.5 ,"9,740 ","3,200 ",9.29 ,5.33 ,873.6 ,306.2 ,"1,006 ",468 ,325.95 ,152.47 ,X,X,,,,,,,,,,,,,,,,,,
,,,229 ,211 ,15 ,24 ,13 ,129.90 , 102.0 ,"11,542 ","3,764 ",9.43 ,5.38 ,"1,010.0 ",356.8 ,"1,174 ",546 ,394.78 ,228.34 ,X,X,,,,,,,,,,,,,,,,,,
,,250 x 125,248 ,124 ,5 ,8 ,12 ,32.68 , 25.7 ,"3,537 ",255 ,10.40 ,2.79 ,285.3 ,41.1 ,319 ,64 ,36.61 ,6.69 ,,,,,,,,,,,,,,,,,,,,
,,,250 ,125 ,6 ,9 ,12 ,37.66 , 29.6 ,"4,052 ",294 ,10.37 ,2.79 ,324.1 ,47.0 ,366 ,73 ,42.54 ,9.79 ,,,,,,,,,,,,,,,,,,,,
,,250 x 175,244 ,175 ,7 ,11 ,16 ,56.24 , 44.1 ,"6,121 ",984 ,10.43 ,4.18 ,501.7 ,112.5 ,558 ,173 ,133.35 ,23.18 ,,,,,,,,,,,,,,,,,,,,
,,,248 ,175 ,5 ,9.5 ,16 ,46.90 , 36.8 ,"5,502 ",850 ,10.83 ,4.26 ,443.7 ,97.1 ,486 ,148 ,120.67 ,13.89 ,X,X,,,,,,,,,,,,,,,,,,
,,250 x 250,244 ,252 ,11 ,11 ,16 ,82.06 , 64.4 ,"8,787 ","2,938 ",10.35 ,5.98 ,720.2 ,233.2 ,805 ,358 ,398.19 ,44.60 ,,,,,,,,,,,,,,,,,,,,
,,,248 ,249 ,8 ,13 ,16 ,84.70 , 66.5 ,"9,930 ","3,347 ",10.83 ,6.29 ,800.8 ,268.9 ,883 ,408 ,461.81 ,46.63 ,,,,,,,,,,,,,,,,,,,,
,,,250 ,250 ,9 ,14 ,16 ,92.18 , 72.4 ,"10,833 ","3,649 ",10.84 ,6.29 ,866.6 ,291.9 ,961 ,444 ,507.65 ,59.07 ,,,,,,,,,,,,,,,,,,,,
,,,250 ,255 ,14 ,14 ,16 ,104.70 , 82.2 ,"11,484 ","3,877 ",10.47 ,6.08 ,918.7 ,304.1 ,"1,039 ",468 ,538.72 ,87.27 ,,,,,,,,,,,,,,,,,,,,
,,300 x 100,303 ,101 ,5 ,6 ,11 ,27.71 , 21.8 ,"3,912 ",104 ,11.88 ,1.93 ,258.2 ,20.5 ,301 ,33 ,22.72 ,3.95 ,X,X,,,,,,,,,,,,,,,,,,
,,,305 ,102 ,6 ,7 ,11 ,32.78 , 25.7 ,"4,616 ",125 ,11.87 ,1.95 ,302.7 ,24.4 ,355 ,40 ,27.49 ,6.18 ,X,X,,,,,,,,,,,,,,,,,,
,,,309 ,102 ,6 ,9 ,11 ,36.86 , 28.9 ,"5,577 ",160 ,12.30 ,2.08 ,361.0 ,31.4 ,417 ,50 ,35.82 ,8.74 ,X,X,,,,,,,,,,,,,,,,,,
,,,313 ,103 ,7 ,11 ,11 ,44.07 , 34.6 ,"6,819 ",202 ,12.44 ,2.14 ,435.7 ,39.1 ,505 ,63 ,45.68 ,14.69 ,X,X,,,,,,,,,,,,,,,,,,
,,300 x 150,298 ,149 ,5.5 ,8 ,13 ,40.80 , 32.0 ,"6,318 ",442 ,12.44 ,3.29 ,424.0 ,59.3 ,475 ,92 ,92.73 ,8.79 ,,,,,,,,,,,,,,,,,,,,
,,,300 ,150 ,6.5 ,9 ,13 ,46.78 , 36.7 ,"7,209 ",508 ,12.41 ,3.29 ,480.6 ,67.7 ,542 ,105 ,107.17 ,12.73 ,,,,,,,,,,,,,,,,,,,,
,,300 x 200,294 ,200 ,8 ,12 ,18 ,72.38 , 56.8 ,"11,338 ","1,603 ",12.52 ,4.71 ,771.3 ,160.3 ,859 ,247 ,318.10 ,36.13 ,,,,,,,,,,,,,,,,,,,,
,,,298 ,201 ,9 ,14 ,18 ,83.36 , 65.4 ,"13,311 ","1,899 ",12.64 ,4.77 ,893.4 ,188.9 ,"1,000 ",291 ,382.07 ,53.63 ,,,,,,,,,,,,,,,,,,,,
,,300 x 300,294 ,302 ,12 ,12 ,18 ,107.70 , 84.5 ,"16,864 ","5,516 ",12.51 ,7.16 ,"1,150.0 ",365.3 ,"1,277 ",560 ,"1,100.00 ",69.05 ,,,,,,,,,,,,,,,,,,,,
,,,298 ,299 ,9 ,14 ,18 ,110.80 , 87.0 ,"18,849 ","6,241 ",13.04 ,7.51 ,"1,270.0 ",417.5 ,"1,389 ",634 ,"1,260.00 ",71.56 ,,,,,,,,,,,,,,,,,,,,
,,,300 ,300 ,10 ,15 ,18 ,119.80 , 94.0 ,"20,410 ","6,755 ",13.05 ,7.51 ,"1,360.0 ",450.3 ,"1,501 ",684 ,"1,370.00 ",89.02 ,,,,,,,,,,,,,,,,,,,,
,,,300 ,305 ,15 ,15 ,18 ,134.80 , 106.0 ,"21,535 ","7,105 ",12.64 ,7.26 ,"1,440.0 ",465.9 ,"1,614 ",716 ,"1,440.00 ",128.30 ,,,,,,,,,,,,,,,,,,,,
,,,304 ,301 ,11 ,17 ,18 ,134.80 , 106.0 ,"23,380 ","7,733 ",13.17 ,7.57 ,"1,540.0 ",513.8 ,"1,706 ",781 ,"1,590.00 ",125.41 ,,,,,,,,,,,,,,,,,,,,
,,,310 ,305 ,15 ,20 ,18 ,165.30 , 130.0 ,"28,629 ","9,469 ",13.16 ,7.57 ,"1,850.0 ",620.9 ,"2,079 ",949 ,"1,990.00 ",221.52 ,,,,,,,,,,,,,,,,,,,,
,,,310 ,310 ,20 ,20 ,18 ,180.80 , 142.0 ,"29,870 ","9,954 ",12.85 ,7.42 ,"1,930.0 ",642.2 ,"2,199 ",992 ,"2,090.00 ",293.42 ,,,,,,,,,,,,,,,,,,,,
,,350 x 175,346 ,174 ,6 ,9 ,14 ,52.68 , 41.4 ,"11,094 ",792 ,14.51 ,3.88 ,641.3 ,91.0 ,716 ,140 ,224.36 ,13.74 ,,,,,,,,,,,,,,,,,,,,
